"","replication","arrivals","mean_patients_in_service","mean_queue_length_nurse","mean_waiting_time_nurse","mean_serve_time_nurse","utilisation_nurse","count_unseen_nurse","mean_waiting_time_unseen_nurse"
"60",60,26,2.84023705143486,0.0728053378708445,0.344394817456583,9.54709363349747,0.543996239535523,0,NA
"61",61,26,2.7707081917971,0.0858104715135919,0.343411064048687,10.2095426114461,0.531009358631355,0,NA
"62",62,15,2.2452052482022,0,0,12.1794916324444,0.449041049640439,0,NA
"63",63,23,1.8277815595465,0,0,6.36800537467603,0.3655563119093,0,NA
"64",64,15,1.70811251003791,0,0,8.91163710578493,0.341622502007582,0,NA
"65",65,19,2.31828330872989,0,0,12.1093310010571,0.463656661745977,0,NA
"66",66,20,1.83638152335001,0,0,11.7230264838079,0.367276304670003,0,NA
"67",67,17,2.1741423371352,0,0,9.27990324924694,0.434828467427041,0,NA
"68",68,19,2.28362204780158,0,0,10.1850315754861,0.456724409560317,0,NA
"69",69,26,3.62599455059357,0,0.0942848435401623,13.3756261681299,0.718756403386853,0,NA
"70",70,26,2.83208509239943,0,0,9.3245051794549,0.566417018479887,0,NA
"71",71,19,4.47879373007675,1.64340592933028,3.69582247891364,11.1684089103896,0.659386038611988,0,NA
"72",72,21,2.74146980824454,0,0.0922184151393251,10.6204616422929,0.542944672691855,0,NA
"73",73,29,3.75761695126091,0.054668033663901,0.325417653837469,11.2914501553466,0.726605512394484,0,NA
"74",74,25,2.03874648702206,0,0,6.69902814830217,0.407749297404412,0,NA
"75",75,26,2.28406624846328,0.0350237053555947,0.134884822014864,7.63854001702794,0.446968140900526,0,NA
"76",76,19,2.63584640059024,0,0.0472845207401263,10.8767155810445,0.524786567904976,0,NA
"77",77,16,0.960279798923997,0,0,4.97683636986556,0.192055959784799,0,NA
"78",78,16,2.18288718488597,0,0,9.93453676782884,0.436577436977194,0,NA
"79",79,21,2.63084615459049,0,0,10.5713466681666,0.526169230918098,0,NA
"80",80,14,1.27204059891009,0,0,7.41873804465893,0.254408119782019,0,NA
"81",81,19,1.34251542154802,0,0,6.72733438937513,0.268503084309604,0,NA
"82",82,17,1.90945422423829,0,0,7.01823524421657,0.381890844847658,0,NA
"83",83,25,2.14315178588416,0,0.012244178996315,9.12985838492438,0.427830814527699,1,3.86713890070776
"84",84,22,3.0457534590675,0.0665654209184529,0.527872213899074,10.5064621649884,0.578474904919359,0,NA
"85",85,20,2.20701011064975,0,0.342274636900395,8.68598688957495,0.424153511036273,0,NA
"86",86,21,1.65568384143461,0,0,6.85947502177372,0.331136768286922,0,NA
"87",87,22,2.10992576250901,0.155221160180674,0.242919933910528,9.17730368268377,0.408030212590418,0,NA
"88",88,12,1.61859633579999,0,0,13.536552814769,0.323719267159999,0,NA
"89",89,23,3.68953327389066,0.178178270195787,0.412950642805246,12.9496063234058,0.712033151212165,0,NA
"90",90,19,1.96502513054933,0,0.022097356185268,7.66710505787557,0.391875601811102,0,NA
"91",91,24,2.15808287827608,0,0,6.9215169221959,0.431616575655215,0,NA
"92",92,12,1.61835603996252,0,0,10.5539835314203,0.323671207992504,0,NA
"93",93,13,1.14630910759505,0,0,7.18376703352166,0.229261821519009,0,NA
"94",94,26,3.95062503304662,0.197188724298681,0.561263586270782,10.8714943256149,0.751335731245525,0,NA
"95",95,22,3.54468728177792,0,0.0493332616842608,12.6078138753168,0.706009538194795,0,NA
"96",96,25,2.40158555169091,0,0,7.60235131614262,0.480317110338181,0,NA
"97",97,19,2.28737374100005,0,0,11.2988421729717,0.45747474820001,0,NA
"98",98,17,1.47674925226192,0,0,8.98578736803829,0.295349850452383,0,NA
"99",99,17,1.93462176664758,0,0,8.82562147678878,0.386924353329517,0,NA
"100",100,27,5.1554735726517,0.85366140847945,3.0074494380265,13.1172387009666,0.820703686168885,0,NA
